"","diff","lwr","upr","p adj"
"HET:KClOsc-No Cre:GlucPeaks",-11.2561500422054,-11.583717171178,-10.9285829132329,0
"KO:KClOsc-No Cre:GlucPeaks",-11.2419106890474,-11.5785846174883,-10.9052367606066,0
"No Cre:KClPeaks-No Cre:GlucPeaks",-8.76942046855482,-9.14062806576387,-8.39821287134576,0
"HET:KClPeaks-No Cre:GlucPeaks",-8.84189728009357,-9.16946440906613,-8.51433015112102,0
"KO:KClPeaks-No Cre:GlucPeaks",-8.65658943700474,-8.99326336544559,-8.31991550856388,0
"No Cre:KClResp-No Cre:GlucPeaks",-10.0750722407079,-10.446279837917,-9.70386464349888,0
"HET:KClResp-No Cre:GlucPeaks",-10.0704827266478,-10.3980498556204,-9.74291559767528,0
"KO:KClResp-No Cre:GlucPeaks",-10.0838246145006,-10.4204985429415,-9.74715068605976,0
"KO:GlucPeaks-HET:GlucPeaks",-1.03393450286485,-1.32177904050524,-0.746089965224467,0
"No Cre:GlucResp-HET:GlucPeaks",-12.4692742591252,-12.7968413880977,-12.1417071301526,0
"HET:GlucResp-HET:GlucPeaks",-12.288644005663,-12.5657818192882,-12.0115061920378,0
"KO:GlucResp-HET:GlucPeaks",-12.4538096287638,-12.7416541664042,-12.1659650911234,0
"No Cre:KClOsc-HET:GlucPeaks",-12.8417195237787,-13.1692866527512,-12.5141523948061,0
"HET:KClOsc-HET:GlucPeaks",-12.8506788789547,-13.1278166925799,-12.5735410653295,0
"KO:KClOsc-HET:GlucPeaks",-12.8364395257967,-13.1242840634371,-12.5485949881563,0
"No Cre:KClPeaks-HET:GlucPeaks",-10.3639493053041,-10.6915164342767,-10.0363821763315,0
"HET:KClPeaks-HET:GlucPeaks",-10.4364261168429,-10.713563930468,-10.1592883032177,0
"KO:KClPeaks-HET:GlucPeaks",-10.251118273754,-10.5389628113944,-9.96327373611363,0
"No Cre:KClResp-HET:GlucPeaks",-11.6696010774572,-11.9971682064298,-11.3420339484847,0
"HET:KClResp-HET:GlucPeaks",-11.6650115633971,-11.9421493770223,-11.387873749772,0
"KO:KClResp-HET:GlucPeaks",-11.6783534512499,-11.9661979888903,-11.3905089136095,0
"No Cre:GlucResp-KO:GlucPeaks",-11.4353397562603,-11.7720136847012,-11.0986658278195,0
"HET:GlucResp-KO:GlucPeaks",-11.2547095027982,-11.5425540404385,-10.9668649651578,0
"KO:GlucResp-KO:GlucPeaks",-11.4198751258989,-11.718042172968,-11.1217080788299,0
"No Cre:KClOsc-KO:GlucPeaks",-11.8077850209138,-12.1444589493547,-11.4711110924729,0
"HET:KClOsc-KO:GlucPeaks",-11.8167443760898,-12.1045889137302,-11.5288998384495,0
"KO:KClOsc-KO:GlucPeaks",-11.8025050229319,-12.1006720700009,-11.5043379758628,0
"No Cre:KClPeaks-KO:GlucPeaks",-9.33001480243924,-9.6666887308801,-8.99334087399838,0
"HET:KClPeaks-KO:GlucPeaks",-9.402491613978,-9.69033615161838,-9.11464707633761,0
"KO:KClPeaks-KO:GlucPeaks",-9.21718377088916,-9.51535081795822,-8.9190167238201,0
"No Cre:KClResp-KO:GlucPeaks",-10.6356665745924,-10.9723405030332,-10.2989926461515,0
"HET:KClResp-KO:GlucPeaks",-10.6310770605323,-10.9189215981727,-10.3432325228919,0
"KO:KClResp-KO:GlucPeaks",-10.644418948385,-10.9425859954541,-10.346251901316,0
"HET:GlucResp-No Cre:GlucResp",0.18063025346216,-0.146936875510399,0.508197382434719,0.945505826527561
"KO:GlucResp-No Cre:GlucResp",0.0154646303613832,-0.321209298079474,0.352138558802241,1
"No Cre:KClOsc-No Cre:GlucResp",-0.372445264653492,-0.743652861862544,-0.00123766744444004,0.0480169946511841
"HET:KClOsc-No Cre:GlucResp",-0.381404619829532,-0.708971748802091,-0.0538374908569724,0.00525535186241821
"KO:KClOsc-No Cre:GlucResp",-0.367165266671548,-0.703839195112405,-0.03049133823069,0.0153863026838859
"No Cre:KClPeaks-No Cre:GlucResp",2.10532495382107,1.73411735661202,2.47653255103013,0
"HET:KClPeaks-No Cre:GlucResp",2.03284814228232,1.70528101330976,2.36041527125488,0
"KO:KClPeaks-No Cre:GlucResp",2.21815598537115,1.8814820569303,2.55482991381201,0
"No Cre:KClResp-No Cre:GlucResp",0.799673181667957,0.428465584458905,1.17088077887701,1.64368518795754e-12
"HET:KClResp-No Cre:GlucResp",0.804262695728049,0.476695566755489,1.13182982470061,1.67865721323324e-13
"KO:KClResp-No Cre:GlucResp",0.790920807875278,0.45424687943442,1.12759473631614,2.25375273998907e-13
"KO:GlucResp-HET:GlucResp",-0.165165623100777,-0.453010160741162,0.122678914539608,0.919431535605544
"No Cre:KClOsc-HET:GlucResp",-0.553075518115652,-0.880642647088211,-0.225508389143093,2.2460132353963e-07
"HET:KClOsc-HET:GlucResp",-0.562034873291692,-0.83917268691685,-0.284897059666534,4.50358639270121e-11
"KO:KClOsc-HET:GlucResp",-0.547795520133708,-0.835640057774093,-0.259950982493322,1.22758225806763e-09
"No Cre:KClPeaks-HET:GlucResp",1.92469470035891,1.59712757138636,2.25226182933147,0
"HET:KClPeaks-HET:GlucResp",1.85221788882016,1.575080075195,2.12935570244531,0
"KO:KClPeaks-HET:GlucResp",2.03752573190899,1.74968119426861,2.32537026954938,0
"No Cre:KClResp-HET:GlucResp",0.619042928205797,0.291475799233237,0.946610057178356,1.72406777743106e-09
"HET:KClResp-HET:GlucResp",0.623632442265888,0.34649462864073,0.900770255891046,3.55160345577588e-13
"KO:KClResp-HET:GlucResp",0.610290554413118,0.322446016772732,0.898135092053503,3.56492613207138e-12
"No Cre:KClOsc-KO:GlucResp",-0.387909895014875,-0.724583823455733,-0.0512359665740176,0.00631614815001647
"HET:KClOsc-KO:GlucResp",-0.396869250190915,-0.6847137878313,-0.10902471255053,0.000138938191528881
"KO:KClOsc-KO:GlucResp",-0.382629897032931,-0.680796944101988,-0.0844628499638732,0.000765848725663765
"No Cre:KClPeaks-KO:GlucResp",2.08986032345969,1.75318639501883,2.42653425190055,0
"HET:KClPeaks-KO:GlucResp",2.01738351192093,1.72953897428055,2.30522804956132,0
"KO:KClPeaks-KO:GlucResp",2.20269135500977,1.90452430794071,2.50085840207883,0
"No Cre:KClResp-KO:GlucResp",0.784208551306574,0.447534622865716,1.12088247974743,2.35922392732846e-13
"HET:KClResp-KO:GlucResp",0.788798065366665,0.50095352772628,1.07664260300705,1.98729921407903e-13
"KO:KClResp-KO:GlucResp",0.775456177513895,0.477289130444837,1.07362322458295,2.10276240864005e-13
"HET:KClOsc-No Cre:KClOsc",-0.00895935517603963,-0.336526484148599,0.31860777379652,1
"KO:KClOsc-No Cre:KClOsc",0.00527999798194445,-0.331393930458913,0.341953926422802,1
"No Cre:KClPeaks-No Cre:KClOsc",2.47777021847457,2.10656262126551,2.84897781568362,0
"HET:KClPeaks-No Cre:KClOsc",2.40529340693581,2.07772627796325,2.73286053590837,0
"KO:KClPeaks-No Cre:KClOsc",2.59060125002465,2.25392732158379,2.9272751784655,0
"No Cre:KClResp-No Cre:KClOsc",1.17211844632145,0.800910849112397,1.5433260435305,0
"HET:KClResp-No Cre:KClOsc",1.17670796038154,0.849140831408981,1.5042750893541,0
"KO:KClResp-No Cre:KClOsc",1.16336607252877,0.826692144087912,1.50004000096963,0
"KO:KClOsc-HET:KClOsc",0.0142393531579841,-0.273605184482401,0.302083890798369,1
"No Cre:KClPeaks-HET:KClOsc",2.48672957365061,2.15916244467805,2.81429670262317,0
"HET:KClPeaks-HET:KClOsc",2.41425276211185,2.13711494848669,2.69139057573701,0
"KO:KClPeaks-HET:KClOsc",2.59956060520069,2.3117160675603,2.88740514284107,0
"No Cre:KClResp-HET:KClOsc",1.18107780149749,0.853510672524929,1.50864493047005,0
"HET:KClResp-HET:KClOsc",1.18566731555758,0.908529501932422,1.46280512918274,0
"KO:KClResp-HET:KClOsc",1.17232542770481,0.884480890064424,1.46016996534519,0
"No Cre:KClPeaks-KO:KClOsc",2.47249022049262,2.13581629205177,2.80916414893348,0
"HET:KClPeaks-KO:KClOsc",2.40001340895386,2.11216887131348,2.68785794659425,0
"KO:KClPeaks-KO:KClOsc",2.5853212520427,2.28715420497364,2.88348829911176,0
"No Cre:KClResp-KO:KClOsc",1.1668384483395,0.830164519898647,1.50351237678036,0
"HET:KClResp-KO:KClOsc",1.1714279623996,0.883583424759211,1.45927250003998,0
"KO:KClResp-KO:KClOsc",1.15808607454683,0.859919027477768,1.45625312161588,0
"HET:KClPeaks-No Cre:KClPeaks",-0.0724768115387584,-0.400043940511318,0.255090317433801,0.999999982966467
